,Throughput,,,, Average Delay,,,, Delivery Ratio,,,, Drop Ratio,,
,,,,,,,,,,,,,,,
#Nodes, Existing RED, CLRED,Basic RED,, Existing RED, CLRED,Basic RED,, Existing RED, CLRED,Basic RED,, Existing RED, CLRED,Basic RED
20,1.44E+06,1.43E+06,1.44E+06,,0.119253,0.0787408,0.11937,,79.0801,78.6485,79.7412,,20.5219,20.9993,19.6341
40,1.44E+06,1.44E+06,1.44E+06,,0.119779,0.0793473,0.120237,,78.923,77.162,79.4052,,20.6798,22.5146,20.3728
60,1.44E+06,1.44E+06,1.44E+06,,0.12003,0.0793451,0.120286,,80.2245,77.7971,79.4052,,19.2817,21.9634,20.4172
80,1.44E+06,1.44E+06,1.44E+06,,0.119454,0.0791778,0.119496,,79.4581,77.0358,79.1768,,20.1199,22.598,20.3364
100,1.44E+06,1.44E+06,1.44E+06,,0.11925,0.078539,0.119853,,79.9911,79.1722,80.0627,,19.6289,20.3851,19.5346
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
#Flows, Existing RED, CLRED,Basic RED,, Existing RED, CLRED,Basic RED,, Existing RED, CLRED,Basic RED,, Existing RED, CLRED,Basic RED
10,1.44E+06,1.43E+06,1.44E+06,,0.116835,0.078075,0.116547,,88.295,84.5787,87.6167,,10.9874,15.1826,11.7445
20,1.43E+06,1.44E+06,1.44E+06,,0.119168,0.0793201,0.120782,,80.22,77.9813,80.7675,,19.4432,21.8443,18.6456
30,1.44E+06,1.44E+06,1.43E+06,,0.118029,0.0789693,0.117322,,76.6945,73.9381,74.7237,,22.9207,25.7526,24.9426
40,1.43E+06,1.44E+06,1.43E+06,,0.11759,0.0788822,0.118355,,71.4485,71.7105,72.0972,,28.0342,27.8309,27.501
50,1.44E+06,1.44E+06,1.44E+06,,0.119471,0.0790933,0.117921,,69.3285,69.7409,69.3878,,30.152,29.9111,30.1117
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PktsPerSec, Existing RED, CLRED,Basic RED,, Existing RED, CLRED,Basic RED,, Existing RED, CLRED,Basic RED,, Existing RED, CLRED,Basic RED
100,1.44E+06,1.44E+06,1.44E+06,,0.120516,0.0787801,0.119157,,79.7192,78.7885,79.383,,19.9019,20.7048,19.9512
200,1.44E+06,1.44E+06,1.44E+06,,0.11998,0.0790765,0.119318,,80.2966,78.1639,79.9061,,19.1418,21.4208,19.9151
300,1.44E+06,1.44E+06,1.44E+06,,0.120878,0.0786109,0.120665,,78.9671,78.65,78.8453,,20.5032,20.8443,20.9343
400,1.44E+06,1.44E+06,1.44E+06,,0.118793,0.0793959,0.118878,,80.5587,78.1469,80.1974,,19.2611,21.5472,19.0401
500,1.43E+06,1.44E+06,1.44E+06,,0.119713,0.0783458,0.119552,,80.764,79.3869,79.4314,,18.7387,20.3021,20.2132
