, Throughput,,,, Average Delay,,,, Delivery Ratio,,,, Drop Ratio,,,, Energy Consumed,,
,,,,,,,,,,,,,,,,,,,
Area,Existing RED,CLRED,Basic RED,,Existing RED,CLRED,Basic RED,,Existing RED,CLRED,Basic RED,,Existing RED,CLRED,Basic RED,,Existing RED,CLRED,Basic RED
250,668316,736489,686375,,0.17357,0.270899,0.187971,,98.5401,98.0066,99.2248,,0.608273,0.996678,0.655933,,36710.1,36759.6,36738.4
500,693018,712485,701156,,0.277438,0.434541,0.245302,,98.0792,98.1704,96.8517,,0.407451,1.14351,0.973097,,36726.8,36587.5,36601.3
750,656482,659316,675759,,0.212932,0.323471,0.318101,,96.3075,97.9617,96.1062,,0.90799,1.72946,0.589971,,36497.8,36528.8,36479.7
1000,660537,610718,628141,,0.348736,0.4275,0.274517,,93.7204,95.4457,93.6637,,0.770142,2.27716,1.31744,,36304.3,36326,36191.6
1250,632168,673473,677981,,0.225228,0.316236,0.272896,,93.7072,95.8658,95.6316,,0.809969,0.359497,1.2987,,36224.9,36147.3,36207.4
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
#Nodes,Existing RED,CLRED,Basic RED,,Existing RED,CLRED,Basic RED,,Existing RED,CLRED,Basic RED,,Existing RED,CLRED,Basic RED,,Existing RED,CLRED,Basic RED
20,690359,686764,676279,,0.194292,0.36965,0.307595,,98.75,98.5057,98.006,,0.77381,0.597729,0.966767,,18367.7,18353.1,18353.4
40,716902,681562,659774,,0.27311,0.282106,0.36388,,96.3687,98.0287,95.7561,,1.06145,1.85185,0.597729,,36749.5,36646.4,36661.5
60,643274,662303,663670,,0.161755,0.344273,0.198473,,96.4061,97.439,96.7332,,0.819672,1.58537,1.45191,,54608.2,54679.9,54682.5
80,664725,707444,694452,,0.281558,0.290603,0.218613,,93.9125,95.9887,96.5517,,2.54137,1.75141,1.09195,,72761.1,73023.6,73257.4
100,636863,682197,672208,,0.320723,0.335365,0.266252,,95.0901,94.0702,97.1049,,1.98881,1.49683,0.241255,,90875.7,90976.2,90996.6
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
#Flows,Existing RED,CLRED,Basic RED,,Existing RED,CLRED,Basic RED,,Existing RED,CLRED,Basic RED,,Existing RED,CLRED,Basic RED,,Existing RED,CLRED,Basic RED
10,661749,721062,666255,,0.203867,0.260553,0.232735,,95.1497,99.3671,98.5158,,0.299401,0.23015,0.803958,,36715.2,36681.5,36630.8
20,699106,722884,681004,,0.194376,0.320424,0.232537,,97.8476,97.1063,97.3262,,1.27981,0.779076,1.30719,,36708,36647.9,36653.9
30,686855,733862,635410,,0.338922,0.321046,0.33778,,95.4831,97.9704,96.7985,,2.00114,0.71311,3.07596,,36614.7,36734.5,36559.6
40,663346,733116,705737,,0.370826,0.34611,0.150662,,93.1609,97.2418,96.5672,,3.27586,2.37966,3.20765,,36574.8,36634.3,36604.5
50,707460,690302,669960,,0.26727,0.37814,0.211984,,97.5111,92.1212,96.8714,,2.37832,5.01377,2.781,,36701.4,36577.9,36600.6
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PktsPerSec,Existing RED,CLRED,Basic RED,,Existing RED,CLRED,Basic RED,,Existing RED,CLRED,Basic RED,,Existing RED,CLRED,Basic RED,,Existing RED,CLRED,Basic RED
100,629641,687024,700674,,0.204597,0.454986,0.254294,,95.2801,98.1646,98.1503,,2.26558,0.888099,0.924855,,36583.3,36636.3,36657.8
200,710223,713919,634346,,0.279469,0.299762,0.268748,,98.1672,97.6204,98.4015,,0.744559,1.24646,0.959079,,36719.2,36595.8,36684.3
300,673949,738034,696782,,0.287976,0.346649,0.275915,,98.4848,93.8765,97.7868,,1.51515,1.91693,1.39779,,36647.9,36574.3,36718
400,666181,714664,663265,,0.24809,0.340677,0.310125,,99.1374,97.1767,98.1674,,0.616143,1.4681,0.794136,,36626,36617.7,36658.8
500,673143,672549,645057,,0.21907,0.377433,0.381931,,98.6044,96.6051,98.2368,,1.15291,1.54854,1.51134,,36646.4,36697,36660.9
